"Time","A153_Door"
1702546294803,0
1702547149595,0
1702547193513,1
1702549171379,0
1702550206805,0
1702550791633,0
1702552079657,1
1702559502395,0
1702559558475,1
1702563836166,0
1702564098191,0
1702564957691,0
1702568305435,0
1702568972937,0
1702569266167,1
1702620415882,0
1702620927448,1
1702623479715,0
1702623934365,1
1702623976292,0
1702623979374,1
1702623984243,0
1702624057307,1
1702624151306,0
1702624159422,1
1702624212330,0
1702624216295,1
1702624259307,0
1702624264259,1
1702624654898,0
1702624657866,1
1702624722664,0
1702624726376,1
1702625431184,0
1702625436717,1
1702625671979,0
1702625675221,1
1702626116411,0
1702626155403,1
1702626309829,0
1702626312467,1
1702626399234,0
1702626450143,1
1702626464845,0
1702626468695,1
1702627036807,0
1702627040727,1
1702628180902,0
1702628194375,1
1702629372997,0
1702629418503,1
1702629480791,0
1702629490517,1
1702629539616,0
1702629549407,1
1702629549798,0
1702629581093,1
1702629640797,0
1702629693641,1
1702629696312,0
1702629700373,1
1702629707661,0
1702629713711,1
1702629810572,0
1702629814584,1
1702629977274,0
1702629982046,1
1702630342321,0
1702630553169,1
1702630955952,0
1702631298474,1
1702631440984,0
1702631517246,1
1702631637875,0
1702631639664,1
1702631736075,0
1702631761946,1
1702634333652,0
1702634340647,1
1702634769870,0
1702634852795,1
1702636375588,0
1702636412436,1
1702636720529,0
1702637270034,1
1702638495600,0
1702638496015,1
1702638726388,0
1702638733542,1
1702638735604,0
1702638758457,1
1702638813229,0
1702638846684,1
1702638939135,0
1702638988858,1
1702638998895,0
1702639003963,1
1702639023924,0
1702639043355,1
1702639060581,0
1702639086519,1
1702639151426,0
1702639152989,1
1702639179414,0
1702639182955,1
1702639205592,0
1702639206132,1
1702639344730,0
1702639350060,1
1702639668478,0
1702639672716,1
1702639767115,0
1702639858501,1
1702640058355,0
1702641678790,1
1702642528554,0
1702642532459,1
1702643496910,0
1702643959713,1
1702879609336,0
1702880330877,1
1702882637030,0
1702883058468,1
1702883166018,0
1702883169576,1
1702883207063,0
1702883211052,1
1702883324298,0
1702883324638,1
1702885476838,0
1702885946111,0
1702886026340,0
1702886499482,1
1702886500413,0
1702886749960,1
1702886750795,0
1702886789206,1
1702887184837,0
1702887203792,1
1702887350862,0
1702887363998,1
1702887403676,0
1702888077033,0
1702888117444,1
1702888226778,0
1702888243533,1
1702888243942,0
1702888248137,1
1702888460311,0
1702888469282,1
1702888587571,0
1702888593552,1
1702888744890,0
1702889447570,1
1702964692353,0
1702964842605,1
1702977536732,0
1702977575741,1
1702978342222,0
1702978384217,1
1702978516589,0
1702980234492,1
1702980640257,0
1702981324479,1
1702981806728,0
1702981809361,1
1702981810062,0
1702982027861,1
1702982128412,0
1702982133412,1
1702984228254,0
1702984356487,1
1702984820379,0
1702984847222,1
1702985216217,0
1702985219186,1
1702986457376,0
1702986567439,1
1702987302333,0
1702987726152,1
1702987894877,0
1702987898772,1
1702988560258,0
1702988566441,1
1702988688204,0
1702988692206,1
1702988717249,0
1702988736303,1
1702988791344,0
1702988796908,1
1702988841525,0
1702988841975,1
1702988853910,0
1702988857948,1
1702988965354,0
1702988986132,1
1702989014481,0
1702989017019,1
1702989078282,0
1702989081278,1
1702989127884,0
1702989133072,1
1702989162843,0
1702989166796,1
1702989529571,0
1702989532070,1
1702989569989,0
1702989573849,1
1702989605470,0
1702989609520,1
1702989946180,0
1702989951239,1
1702990251443,0
1702990254403,1
1702990360920,0
1702990361750,1
1702990639972,0
1702990643898,1
1702991291139,0
1702991295272,1
1702991455878,0
1702991460372,1
1702991626004,0
1702991636242,1
1702994108991,0
1702994616729,1
1702994636550,0
1702994637527,1
1702994684769,0
1702994690138,1
1702995147575,0
1702995159702,1
1702995165655,0
1702995271103,1
1702996274562,0
1702996386543,1
1702996402383,0
1702996407434,1
1702996409393,0
1702997057450,1
1702998699777,0
1702998875056,1
1702998973336,0
1702999777637,1
1703052467672,0
1703053116386,1
1703068144496,0
1703068334129,0
1703068563392,1
1703070718461,0
1703070834457,0
1703070863342,1
